,Transliteration,Translation
349,i.n=f n=k iw.n=f n=k,He has come to you: he has come to you!
350,i.n W. xr=k,To you has Unas come.
351,iw n=k P. pn n anx,"When Pepi comes to you, for life."
352,i.n M. xr=k,To you has Merire come.
353,iwr.i W. m grH,Unas being conceived in the night.
354,i.iwr nr.t [m] M. m SsA.t r-ab=T,The vulture is pregnant [with] Merire in the night sky with you (fem.).
355,iwr nr.t m Ne. m SsA.t r-ab=T,The vulture is pregnant with Neferkare in the night-sky with you (fem.).
356,T. pw ir.t tw n(i)t ra sDr.t ii.t(i) ms.t(i) ra nb,"Teti is this Eye of Re, which passes the night, conceived and born every day."
357,DA.t(i),Cross!
358, DA=k m kA wr iwn wAD.t ir sx.wt ra mrr.t=f ,"May you cross as the great bull, pillar of the serpent-nome, to the field of Re which he loves."
359,DA=k kA wr ir sx.wt wAD.t r s.wt ra wab.t,"May you cross, O great bull, to the green field, to the pure places of Re."
360,DA.n T. (m) mXn.t wr.t,Teti has crossed by the great ferryboat.
361,DA=f im xr Hr Ax.ti xr ra,"That he cross thereby to Harakhti, to Re."
362,i.n W. xr=k DA=k sw (m) mXn.t tw DAA.t=k nTr.w im=s,"Unas has come to you, even that you ferry him in this ferryboat in which you ferry the gods."
363,DA Ne.,Ferry Neferkare!
364,DA sw,Ferry him!
365,DA=f biA n anx wAs,"And cross the distant realm, for life and dominion."
366,DAy P. pn,Ferry Pepi across!
367, DA sw ir sin ir tA zmA n(i) sx.t tw n( it) ir.t nTr.w ,Ferry him quickly to the landing place of this field of that which the gods made!
368,i DA iwi mAa mXn.t(i) n(i) sx.t-iAr.w ,"O one who ferries the true stranded one, O ferryman of the field of rushes."
369,DAy M.n im=f,Let Merenre cross by it.
370,DA=k sw m S pn,And ferry him in this lake.
371, DA sw DHwti m tp anD=k zkr is xnti mAa.t ,"Ferry him, O Thoth, on your wingtip, (he being) as Sokar, foremost of the Ma’at-boat!"
372,DA<=sn(i)> sw,Let <them> ferry him.
373,hA=i DA=i,Let me board and cross.
374,DA=k M.n,And ferry Merenre across.
375,DA n=f nw,Ferry this for him!
376,DA=f Hna=Tn,He will cross with you.
377,DA P. [ pn] /// . . . ///,That Pepi cross /// . . . ///.
378, DA=f im ir Ax.t xr ra ,"That he cross thereby to the horizon, to Re."
379, DA=f im ir Ax.t xr Hr Ax.ti ,"That he cross thereby to the horizon, to Harakhti."
380, DA=f im r Ax.t xr ra xr Hr Ax.t(i) ,"That he cross thereby to the horizon, to Re, to Harakhti."
381,DA=f im=sn ir Ax.t xr Hr Ax.ti,"That he cross by them to the horizon, to Harakhti."
382, swt sDA.w=f P. pn ir gs pf Ax.t ,"He is the one who will ferry Pepi to that side, the horizon."
383,DA=f xr=f ir Ax.t,"When he crosses to him, to the horizon."
384,DA=f ir qbHw,That he cross to the firmament.
385,DA T. Hna=Tn tp DnH DHw.ti ir pf gs n(i) mr-nxA(i) ir gs iAb.t(i) n(i) p.t,"Teti would cross with you upon the wing of Thoth to that side of the shifting waterway, to the eastern side of the sky."
386,m( y) DA T. ir pf gs mr DA.t=k Sms.w=k wng mrr.w=k,Come! Ferry Teti to that
387,sDA P. pn m gs iAb.t(i) n(i) p.t,Let Pepi travel in the eastern side of the sky.
388, DAy Ne. im xr ra ir Ax.t ,"That Neferkare cross thereby to Re, to the horizon."
389,DAy=f r=f xr ra ir Ax.t,"That he thus cross to Re, to the horizon."
390,Sm=f im ir Ax.t xr ra,"That he may go thereby to the horizon, to Re."
391, sDA=f ir gs pw nti i.xm.w-sk im ,That he may travel to that side where the imperishable stars are.
392,DA=f im ir Ax.t ir bw ms.w nTr.w im,"That he cross thereby to the horizon, to the place where the gods are born."
393,sqd Hr im=f Hna=f ir Ax.t,Let Horus sail in it to the horizon.
394, DA P. pn im r Ax.t ir bw n/// m r m /// . . . /// ,"So that Pepi may cross thereby to the horizon, to the place /// . . . ///."
395, DA=sny i[t(=i)] wsir P. ir gs pf iAb(.ti) n(i) p.t ,That they ferry [my fath]er Osiris Pepi to that eastern side of the sky.
396,Abxx n=k a.w(i) rww n=k rd.w(i) DAm n=k Dr.wt,"Arms will be linked for you, legs dance for you, and hands clap for you."
397,n rd.wi=k(i) sqr=sn(i) HAb=k,For your feet stamp your ceremony.
398,rwi n=k bA.w p,With the Bas of Buto dancing for you.
399,sqr wAS.t(i)w a.wy=sn(i) r-rd.w s.t=k,With the mighty ones clapping their hands before your place.
400, rd.wi=k(i) sqr=sn n=k rw(.t)=sn ,Your legs stamp out for you their dance.
401,rww n=k rw.t,The dance being danced for you.
402,ibA n=k wrS.w,With your watchers dancing for you.
403,[riw n=k] bA.w p,The Bas of Buto dance for you.
404, riw n=k a.wy DAm n=k rd.wi ,"Hands dancing for you, feet stamping for you."
405,sqr a.wi i.HA rw.t,Let hands clap and dancing stamp.
406, n(i) ip {t} qs.w n(i) smn.t Tbw.wt ,"Of the reckoning of bones, of establishing sandals."
407, ir n=f ir.t n it=f wsir hrw pw n(i) Tz qs.w ,Do for him what was done for his father Osiris on that day of binding the bones!
408, ir n=f nw ir.n=k n sn=f wsir hrw pw n(i) ip qs.w ,Do for him this which you did for his brother Osiris on that day of reckoning bones!
409,m gAw m aS.w,Do not lack; do not cry out!
410,im(i)=k aS.w,May you not cry out.
411,im(i)=k aS.w,May you not cry out.
412,im(i)=k aS.w,May you not cry out.
413,m Hm gAw m Hm aS.w,Do not lack; do not cry out!
414, n wnm.n=f bw.t nwi mi twr stS mwt ,"He cannot eat what is detested, these two things, just as Seth rejects poison."
415,b(w).t W. pi Hqr n wnm.n=f sw,Hunger is what Unas detests; he cannot eat it.
416,n zwr=f s(i),He will not drink it.
417,n wnm=f,He will not eat ( it).
418,n wnm.n Ne. DAs,Neferkare not eating the Djas-plant (sc. what gods detest).
419,m rDi i.xm Tw T.,Do not let Teti forget you!
420,n xm=f Htp Di,He will not forget the offering which is to be given.
421,n xm Ne. mw.t=f,Neferkare has not forgotten his mother.
422,n xm(=i) rn=k,I am not ignorant of your name.
423,m gAw m aS.w,Do not lack; do not cry out!
424,im(i)=k gAw,That you not lack.
425,n gAw=k,Even that you not lack.
426,n gAi.w=k,Even that you not lack.
427,xwi=s gAw=k,Even that she prevent that you lack.
428,im(i)=k gAw,May you not lack.
429,m gA /// . . . ///,Do not lack!
430,im(i)=k gAw,That you not lack.
431,m Hm gAw m Hm aS.w,Do not lack; do not cry out!
432,n rDi.n=f znw=k,Not permitting that you suffer.
433,n rDi.n Hr znw=k,Horus not permitting that you suffer.
434,n z(w)nw iwf=k,And your flesh not sicken.
435,im(i)=k nzn,May you not suffer.
436,n Di(=i) znw=k,I will not permit that you suffer.
437,im(i)=k nznznw,May you not suffer.
438,n zwn P. pn D.t,Never will Pepi suffer.
439,nxbxb qAn.wt=s,Its bolts slid back.
440,snxbxb n=k z.w wr.w,The great bolts are made drawn for you.
441,wn.i n=k z m zr.wi xsf.w(i) rx.wt,For you is opened the bolt from the gate which keeps out the people.
442, wn n=k z m zr.wi xsf.w THnw1190 ,Open the doorbolt of the gate which keeps Libya out.
443,wn=k z m zr.wi xsf.w [fnx.w],May you open the doorbolt of the gate which keeps out the [Fenekhu].
444,snxbxb.w n=k [z.w],[The doorbolts] are drawn for you.
445,wn n=k aA.wi Akr szn n=k aA.wi gbb,The doors of Aker open to you; the doors of Geb spread open to you.
446,wn r(w).t Akr,The gate of Aker is opened.
447,wn n=k rw.t Akr zn n=k aA.wi gbb,The gate of Aker opens to you; the doors of Geb spread open to you.
448,wp n=k rA n(i) tA,The mouth of the earth is opened for you.
449, i.wn iw.t-iw=s aA.wi Ax.t n pr.w manD.t ,When Yutyus opens the doors of the horizon for the ascent of the day-bark.
450,i.zn aA.wi qbHw n Hr nTr.w m tp(i) hrw,Spread open are the doors of the firmament for Horus of the gods at dawn.
451, i.zn aA.wi qbH n Hr nTr.w ,The doors of the firmament are spread to Horus of the gods.
452,[ i.zn].y aA.wi qbH tp-a.wy nTr.w,The doors of the firmament are [spread open] before the gods.
453,i.zn.y aA.wi qbHw n Hr iAb.ti ir tp(i) hrw,The doors of the firmament are spread open to Horus of the east at dawn.
454,i.zn.y aA.wi qbH n Hr nTr.w,The doors of the firmament are spread open for Horus of the gods.
455,aHa=k r aA.w xsf rx.wt,And stand at the doors which keep out the people.
456,i.zn n=k aA.wi qbHw ipw xsf.w rx.w(t),"The doors of the firmament are spread open for you, these which keep out the people."
457,wn.i n=k z m zr.wi xsf.w(i) rx.wt,For you is opened the bolt from the gate which keeps out the people.
458, wn n=k z m zr.wi xsf.w THnw1193 ,Open the doorbolt of the gate which keeps Libya out.
459,wn n=k aA.w xsf.w rx.wt Dd.ti n D.t D.t,"The doors which keep out the masses are opened to you, even with you enduring for ever and ever."
460,wn(=i) n=f rw.t xsf.t,But opening for him the excluding gate.
461,wn=k z m zr.wi xsf.w [ fnx.w],May you open the doorbolt of the gate which keeps out the [Fenekhu].
462,zwr M.n m zwr.t=k im,Let Merenre drink of what you drink.
463, zwr P. pn [m zw]r[.t]=Tn im ,Let Pepi drink [of that] of [which] you [drink].
464,zwr=f m zwr.t=Tn(i) im,That he drink of what you drink.
465, zwr.t=f im zwr=f im ,"As for that of which he (Horus) drinks, let him drink thereof."
466,wp.n=f tA m rx.t.n=f hrw mr.n=f iw.t im,For he has opened the earth through what he knows on the day on which he wished to come.
467,wn tA,The earth is opened.
468, wnm.t=f im wnm=f im ,"As for that of which he (sc. Horus) eats, let him eat thereof."
469,wnm T. wnm.t tfnw.t im,Teti eating from that from which Tefenut eats.
470,wnm M.n [H]na=f m hrw pn,And Merenre eats with him sc. (Aker) today.
471,wnm=i im=f Hna=sn,And let me eat of it with them.
472, wnm Nt. m Hm.t bkA.t mr imiw iwnw ,"Even while Neith eats of the pregnant cow, like those who are in Heliopolis."
473,wnm M.n m wnm=Tn im,Let Merenre eat of what you eat.
474,wnm M.n m wnm.t=k im,Let Merenre eat of what you eat.
475,wnm=f m wnm.t=Tn(i) im,That he eat of what you eat.
476,gmy W. m wA.t=f wnm=f n=f sw mwmw,"As for the one whom Unas might find in his way, he will eat him, he being devoured."
477,gmy W. m wA.t=f wnm=f n=f sw mwmw,"As for one whom Unas might find in his way, he will eat him, he being devoured."
478, mAn=sn W. xa bA m nTr anx m it.w=f wSb m mw.wt=f ,"Let them (sc. planets/earth/sky) see Unas, appeared and a Ba as a god who lives on his fathers, who is nourished of his mothers!"
479,wnm n=f xft(i)=f,The one who eats his enemy for himself.
480,wnm=k n=k xpS,And eat for yourself the foreleg.
481,wnm=i a.t m xft(i)=k,Me eating a limb from your enemy.
482,wnm=n iH dSr n(i) nm.t-S ir.t.n Hr n it=f wsir P. pn,Let us eat the red bull of the traversing the lake (ritual) which Horus did for his father Osiris Pepi.
483,wnm=k xpS,May you eat the foreleg.
484,baH=k n=k rDw pr m nTr HwAA.wt pr.t m wsir,"Your flood be yours—the efflux which went forth from the god, the putrefaction which went forth from Osiris."
485,rDw=k n=k pr m wsir,Your efflux which went forth from Osiris be yours!
486, rDw=k n=k pr m HwAA.t wsir ,"Your efflux be yours, that which went forth as the putrefaction of Osiris!"
487, [r]Dw=k n=k pr m wsir ,You have your efflux which went forth from Osiris.
488,rDw=k n=k,Your efflux be yours.
489,ia im(i)w-X.t=f in inp,His entrails have been washed even by Anubis.
490,ir rDi.t(i) wt Ne.,If it is caused that Neferkare is embalmed.
491,Sn n=k sw m Xnw-a.wi=k(i),Enclose him in your embrace!
492, m Xnw-a.wi it=f m Xnw-a.wi tm ,"Even in the embrace of his father, in the embrace of Atum!"
493,Sn n=k sw m Xnw-a.wi=k(i),Enclose him in your embrace.
494, qbb.n{n}=k m Xnw-a.wi it=k m Xnw-a.wi tm ,"You have become cooled, in the embrace of your father, in the embrace of Atum."
495,d n=k a.wi=k(i) HA M.n HA kA.t tn HA mr pn m a.wi kA,"Put your arms around Merenre, this construction, this pyramid, as the arms of a Ka."
496,Sn n=k nTr nb m Xnw-a.wi=k(i) tA.w=sn <isT> iS.wt=sn nb(.wt) isT,"Enclose every god in your embrace, and their lands, and all their possessions."
497,d.n=k sn m Xnw-a.wi=k(i) mniw bHz.w=k is,"You have put them (the followers of Re) in your embrace, even as the herdsman of your calves."
498, Sn=k n=k x.t nb(.t) m Xnw-a.wy=k(i) m rn=k n(i) dbn HA.w-nb.w ,"May you enclose everything in your embrace, in your name of ‘one who goes around the Haunebu!"
499, sDr=k r=k m Xnw-a.wy=f(i) ir Dr.w rDw=k ,Then you pass the night in his embrace until your efflux ends.
500,m Xnw-a(.wi)=k(i) m rn=k n(i) Xn-aH,"(While he, Horus, is) in your embrace, in your name of ‘he of the interior of the palace.’"
501,Hr nw m Xnw-a.wi=k(i),This is Horus within your embrace.
502, Hr xw m Xnw-a.(w)y=k(i) ,Horus who protects is within your embrace.
503, ir(.t) Hr tn rwD.t d(=i) n=k s(i) ,"As for the enduring eye of Horus, let me give it to you."
504,ir(.t) tw nn [n(i)t Hr] [rwD.t],This is the [enduring] eye of Horus.
505,[rDi].n n=k Hr ir.t=f rwD.t,Horus has [given] you his enduring eye.
506, rDi.n Hr in.t n=k DHw.ti xfti=k ,Horus has caused that Thoth bring you your enemy.
507, in.n(=i) n=k smA kw ,To you have I brought the one who slew you.
508, in.n(=i) n=k smA kw S a ,"To you have I brought the one who slew you, he being cut apart."
509,in(.n) n=k Hr stS rDi.n=f n=k sw,Horus has brought Seth to you: he has given him to you.
510,rDi.n(=i) n=k nw-tknw,I have given you Nuteknu.
511,rDi.n=f n=k nTr.w xft.iw=k,He has given you the gods who oppose you.
512,/// [ in.n(=i) n]=k xft(i)=k Xr=k,[I have brought for] you your enemy under you.
513, in mdw m rn W. Dw ,Bring the one who would speak evilly of the name of Unas.
514,[rDi.n]=sn n=k xftiw=k Xr=k,They [having put] your enemies under you.
515, rDi.n Hr in.t n=k DHw.ti xfti=k ,Horus has caused that Thoth bring you your enemy.
516, i.H(w)=k a=k ir xftiw=k rDi.w.n n=k inp xnti zH-nTr ,"And smite your hand against your enemies, whom Anubis foremost of the god’s booth, gave to you."
517,in.n n=k sn DHw.ti,Thoth having brought them to you.
518,kbb hi(w) ti.ti bi.ti,"Be restrained, O serpent, being trampled, and bound."
519,tf i.tm im(w) i.b.w zkr ir pr n(i) mw.t=f,"O spitter who does not lament, who is bound, who would go to the house of his mother."
520,kw kbb h(iw) Aw bi,Then the Hiu-serpent is restrained and the Au-(serpent) bound.
521, H(w) ti i.bi ,"Who would smite, who would trample, being bound."
522,T(i)f,Run away!
523,nay nay,"Go, go!"
524,Tif,Run away!
525,i.zi r=k,Go!
526,i.zi r=k ir=s,Go then!
527,i.zy,Go!
528,pr n=k m wx( A).t,Go out into the darkness!
529,i.zy i.zy,Go! Go!
530,zy zp.t(i)=f(i),Who is it who will survive?
531,TTw Tn,Where is the serpent?
532,mwt it=k,Is your father to die?
533,Tn Hr pr m SnT,"Where is Horus, who went forth as the serpent?"
534,in Twt Hr,Are you Horus?
535,[ in i].n=T ir T. m db.t nHH(.i)wt,"Have you come to Teti, being an eternal she-hippopotamus?"
536, in ir.n=Tn ir=f Dd.n=Tn mwt=f ,"Have you acted against him, or said that he is to die?"
537,wTz=f Tw,That he bear you up.
538,wTz=f wr ir=f im=k,Let him raise up one greater than him in you.
539,f A n=k wr ir=k,Lift up one who is greater than you!
540,wTz=f Tw,That he bear you.
541,rDi.n Hr wTz=f Tw m rn=k n(i) wTz wr,"Horus has caused that he lift you, in your name of ‘great lifted one.’"
542,Tz.n sw stS,Seth has raised him.
543,n Hm Sw.n stS m wTz=k D.t,With Seth indeed never free of raising you up!
544,n Hm rDi=n Swy stS m wTz=k D.t,Indeed we will prevent that Seth be free of lifting you for ever.
545, n Hm Sw.n stS m wTz wdn.w=k ,Indeed Seth cannot be free of lifting your weight.
546,sTz sw stS,Let Seth raise him up!
547,Hr=k HA=k,Your face behind you!
548,HA=k,Back!
549,HA=k,Back!
550,Hmi,Fall back!
551,rd=k HA=k,Your foot behind you!
552,pXr Tw pna Tw,Turn around; turn yourself over!
553,xt.t(i) xt.t(i),Turn back! Turn back!
554,pXr pXr=k,Turn truly around!
555,HA=k,Back!
556,HA=k,Back!
557,xt n=k,Turn back!
558,HA=k,Back!
559,HA=k,Back!
560,HA=k,Back!
561,HA=k,Back!
562,i.aq r=k ir pr xw.t,Enter into the house of protection!
563,aq.t(i) m <pr> xw.t,Being entered into <the house of > protection.
564,aq.t(i) m pr xw.t,Being entered into the house of protection.
565,ns.t W. xr=k,The throne of Unas is yours.
566, gm.n T. ns.t=f Sw.t m wnDw.t Ati ra n(i) nbw ,Teti having found his empty throne in the hold of the golden bark of Re.
567,smn=f ns.t P. pn tp nb.w kA.w,With him establishing the throne of Pepi above the Possessors of Kas.
568,Hmsi=i w(i) Hr=s anx.t mAa.t,"Seating myself upon it, the Anekhet-ma’at."
569,Szp.i=f n=f ns.t=f imit sx.t-iAr.w,Let him receive for himself his throne which
570,ns.t=f <n=f >,And his throne is his.
571,s[Sm]=s sw ir s.t wr.t ir.t nTr.w ir.t Hr wtT.t DHw.ti,"She guiding him to the great seat which the gods made, which Horus made, which Thoth begot."
572,s.t=T [n] zA=T s[.t=k] n zA=k,Your (fem.) seat is your (fem.) son’s; your (masc.) seat is your (masc.) son’s.
573,smn.n=f n P. pn ns.t ir p.t,He having set up for Pepi a throne in the sky.
574, sHD=i ns.t=i m rmn p.t ,I will brighten my throne in the side of the sky.
575, Szp=k ns.t=k m sx.t-iAr.w ,May you receive your throne in the field of rushes.
576,pna,Be overturned!
577,pna Tw,Overturn yourself !
578,hA Hr Tz=k,Down on your back!
579,sTAz.ti,Lie down on your back!
580,pXr Tw pna Tw,Turn around; turn yourself over!
581,pna,Be overturned!
582,pAxd.ti,Be overturned!
583,Hr gs[=k],Upon your side!
584,sTAz,Lie down on your back!
585,pna=k n=f,May you be overturned for him.
586,zA,Beware!
587,mdw n=k nn zA.t(i)wny As.t is,"Let this one say to you, ‘Beware ( you two)!’ as Isis."
588,zA Tw,Take care!
589,zA Tw rmT.w iptf n(i)t pr bA Hr.t DA.t m rn=sn pw n(i) DA.t(i)wt,"Beware the people, those of the house of Ba, terrible and transgressing, in this their name of ‘transgressors.’"
590,m pr=f m-a=k,Do not let him go forth from you!
591,m sfxx=k im=f,Do not release him!
592,m nhp=f m-a=k,Do not ( permit) that he escape you!
593,m pr=f m-a=k,Do not let him go forth from you!
594,m nhp=f m-a=k,Do not let him escape from you!
595,m pr=f m-[a=k],Do not let him go forth from [you]!
596, m-n=k ir.t Hr hp.t m-a stS iT.t=k ir rA=k wpp.t=k rA=k im=s ,"Take the eye of Horus, which was recovered from Seth, that which you should take to your mouth, that by which you open your mouth!"
597,m-n=k ir(.t) Hr hp.t m-a stS nHm.t n=k,"Take the eye of Horus, which was recovered from Seth, which was wrested away for you!"
598, m-n=k ir.t Hr nHm.t n=k ,"Take the eye of Horus, which was wrested away for you!"
599, m-n=k ir.t Hr i.xxm.t.n=sn r=f ,"Take the eye of Horus, which they took away from him!"
600, m-n=k ir.t Hr i.xxm.t.n=sn ir=f ,"Take the eye of Horus, which they took away from him!"
601,nHm.n=f s(i) m xftiw=f,He has wrested it from his opponents.
602,nHm.n=f ir.t=f m-a=f,Horus has wrested his eye from him.
603,nHm.n Hr ir.t=f m-a stS,Horus has wrested his eye from Seth.
604,pr.n ir(.ti) m tp=T,The eyes have gone forth from your head.
605, pr.n ir(.t) m tp=k m wr.t-HkA.w Sma(.i)t ,The eye has gone forth from your head as the southern great of magic.
606,pr.n ir(.t) m tp=k m wr.t-HkA.w Sma.(i)t,The eye has gone forth from your head as the southern great of magic.
607,pr.n [ ir(.t]) m tp=k m [wr.t-HkA.w Sma.(i)t],The [eye] has gone forth from your head as [the southern great of magic].
608,sk wsr=f m wsr.w ir.t tbi,For his strength is as the strength of the eye of Tebi.
609,iw ir.t=f m nxt=f,His eye is his strength.
610, iw nxt W. m ir.t=f iw wsr W. m ir.t=f ,The strength of Unas is his eye; the Weser-strength of Unas is his eye.
611,mH.n(=i) n=k ir.t=k (m) mD.t,(With) oil have I filled your eye for you.
612,mH.n Hr ir.t=f Sw.t m ir.t=f mH.t,After Horus filled his empty eye with his full eye.
